548034,7137004,Anschau,56729,Landkreis Mayen-Koblenz,Rheinland-Pfalz
936943,9190113,Antdorf,82387,Landkreis Weilheim-Schongau,Bayern
418326,6535002,Antrifttal,36326,Vogelsbergkreis,Hessen
1060412,7131004,Antweiler,53533,Landkreis Ahrweiler,Rheinland-Pfalz
929824,9175111,Anzing,85646,Landkreis Ebersberg,Bayern
1176599,3257002,Apelern,31552,Landkreis Schaumburg,Niedersachsen
1187347,3451001,Apen,26689,Landkreis Ammerland,Niedersachsen
1285614,15081026,Apenburg-Winterfeld,38486,Altmarkkreis Salzwedel,Sachsen-Anhalt
446434,3359003,Apensen,21641,Landkreis Stade,Niedersachsen
932427,9181111,Apfeldorf,86974,Landkreis Landsberg am Lech,Bayern
957119,9778113,Apfeltrach,87742,Landkreis Unterallgäu,Bayern
2856439,16071001,Apolda,99510,Landkreis Weimarer Land,Thüringen
278581,3353001,Appel,21279,Landkreis Harburg,Niedersachsen
443484,1056001,Appen,25482,Kreis Pinneberg,Schleswig-Holstein
1245804,7339001,Appenheim,55437,Landkreis Mainz-Bingen,Rheinland-Pfalz
452982,8317005,Appenweier,77767,Ortenaukreis,Baden-Württemberg
1075157,7233201,Arbach,56769,Landkreis Vulkaneifel,Rheinland-Pfalz
534392,9571113,Arberg,91722,Landkreis Ansbach,Bayern
1060418,7131005,Aremberg,53533,Landkreis Ahrweiler,Rheinland-Pfalz
1285588,15081030,Arendsee (Altmark),39619,Altmarkkreis Salzwedel,Sachsen-Anhalt
1259126,7231003,Arenrath,54518,Landkreis Bernkastel-Wittlich,Rheinland-Pfalz
2395853,16061001,Arenshausen,37318,Landkreis Eichsfeld,Thüringen
943712,9185113,Aresing,86561,Landkreis Neuburg-Schrobenhausen,Bayern
548036,7137006,Arft,56729,Landkreis Mayen-Koblenz,Rheinland-Pfalz
